Species,Diet
Cuon alpinus,Carnivore
Dusicyon australis,Carnivore
Lycaon pictus,Carnivore
Nyctereutes procyonoides,Omnivore
Otocyon megalotis,Omnivore
Pseudalopex culpaeus,Omnivore
Pseudalopex fulvipes,Omnivore
Pseudalopex griseus,Omnivore
Pseudalopex gymnocercus,Omnivore
Pseudalopex sechurae,Omnivore
Pseudalopex vetulus,Carnivore
Speothos venaticus,Carnivore
Urocyon cinereoargenteus,Omnivore
Urocyon littoralis,Omnivore
Vulpes bengalensis,Omnivore
Vulpes cana,Omnivore
Vulpes chama,Carnivore
Vulpes corsac,Omnivore
Vulpes ferrilata,Carnivore
Vulpes macrotis,Carnivore
Vulpes pallida,Omnivore
Vulpes rueppellii,Omnivore
Vulpes velox,Carnivore
Vulpes vulpes,Omnivore
Vulpes zerda,Omnivore
Capromys pilorides,Omnivore
Geocapromys brownii,Herbivore
Geocapromys columbianus,Herbivore
Geocapromys ingrahami,Herbivore
Geocapromys thoracatus,Herbivore
Hexolobodon phenax,Omnivore
Isolobodon montanus,Omnivore
Isolobodon portoricensis,Omnivore
Mesocapromys angelcabrerai,Omnivore
Mesocapromys auritus,Omnivore
Mesocapromys nanus,Omnivore
Mesocapromys sanfelipensis,Omnivore
Mysateles garridoi,Omnivore
Mysateles gundlachi,Omnivore
Mysateles melanurus,Omnivore
Mysateles meridionalis,Omnivore
Mysateles prehensilis,Herbivore
Plagiodontia aedium,Herbivore
Plagiodontia ipnaeum,Herbivore
Castor canadensis,Herbivore
Castor fiber,Herbivore
Cavia aperea,Herbivore
Cavia fulgida,Herbivore
Cavia intermedia,Herbivore
Cavia magna,Herbivore
Cavia tschudii,Herbivore
Dolichotis patagonum,Herbivore
Dolichotis salinicola,Herbivore
Galea flavidens,Herbivore
Galea monasteriensis,Herbivore
Galea musteloides,Herbivore
Galea spixii,Herbivore
Hydrochoerus hydrochaeris,Herbivore
Hydrochoerus isthmius,Herbivore
Kerodon acrobata,Herbivore
Kerodon rupestris,Herbivore
Microcavia australis,Herbivore
Microcavia niata,Herbivore
Microcavia shiptoni,Herbivore
Cebus albifrons,Omnivore
Cebus apella,Omnivore
Cebus capucinus,Omnivore
Cebus cay,Omnivore
Cebus flavius,Omnivore
Cebus kaapori,Omnivore
Cebus libidinosus,Omnivore
Cebus macrocephalus,Omnivore
Cebus nigritus,Omnivore
Cebus olivaceus,Omnivore
Cebus robustus,Omnivore
Cebus xanthosternos,Omnivore
Saimiri boliviensis,Omnivore
Saimiri oerstedii,Omnivore
Saimiri sciureus,Omnivore
Saimiri ustus,Omnivore
Saimiri vanzolinii,Omnivore
Allenopithecus nigroviridis,Herbivore
Cercocebus agilis,Herbivore
Cercocebus atys,Omnivore
Cercocebus chrysogaster,Omnivore
Cercocebus galeritus,Omnivore
Cercocebus sanjei,Herbivore
Cercocebus torquatus,Omnivore
Cercopithecus ascanius,Herbivore
Cercopithecus campbelli,Herbivore
Cercopithecus cephus,Omnivore
Cercopithecus diana,Herbivore
Cercopithecus dryas,Herbivore
Cercopithecus erythrogaster,Herbivore
Cercopithecus erythrotis,Herbivore
Cercopithecus hamlyni,Herbivore
Cercopithecus lhoesti,Herbivore
Cercopithecus mitis,Herbivore
Cercopithecus mona,Herbivore
Cercopithecus neglectus,Herbivore
Cercopithecus nictitans,Herbivore
Cercopithecus petaurista,Herbivore
Cercopithecus pogonias,Herbivore
Cercopithecus preussi,Herbivore
Cercopithecus sclateri,Omnivore
Cercopithecus solatus,Herbivore
Chlorocebus aethiops,Herbivore
Chlorocebus cynosuros,Omnivore
Chlorocebus djamdjamensis,Omnivore
Chlorocebus pygerythrus,Omnivore
Chlorocebus sabaeus,Omnivore
Chlorocebus tantalus,Omnivore
Colobus angolensis,Herbivore
Colobus guereza,Herbivore
Colobus polykomos,Herbivore
Colobus satanas,Herbivore
Colobus vellerosus,Herbivore
Erythrocebus patas,Herbivore
Lophocebus albigena,Herbivore
Lophocebus aterrimus,Herbivore
Macaca arctoides,Omnivore
Macaca assamensis,Omnivore
Macaca cyclopis,Omnivore
Macaca fascicularis,Carnivore
Macaca fuscata,Omnivore
Macaca hecki,Herbivore
Macaca leonina,Herbivore
Macaca maura,Omnivore
Macaca mulatta,Omnivore
Macaca munzala,Omnivore
Macaca nemestrina,Herbivore
Macaca nigra,Omnivore
Macaca nigrescens,Omnivore
Macaca ochreata,Omnivore
Macaca pagensis,Herbivore
Macaca radiata,Omnivore
Macaca siberu,Herbivore
Macaca silenus,Omnivore
Macaca sinica,Omnivore
Macaca sylvanus,Herbivore
Macaca thibetana,Omnivore
Macaca tonkeana,Omnivore
Mandrillus leucophaeus,Omnivore
Mandrillus sphinx,Omnivore
Miopithecus ogouensis,Herbivore
Miopithecus talapoin,Omnivore
Nasalis larvatus,Herbivore
Papio anubis,Omnivore
Papio cynocephalus,Carnivore
Papio hamadryas,Omnivore
Papio papio,Omnivore
Papio ursinus,Carnivore
Presbytis chrysomelas,Herbivore
Presbytis comata,Herbivore
Presbytis femoralis,Herbivore
Presbytis frontata,Herbivore
Presbytis hosei,Herbivore
Presbytis melalophos,Herbivore
Presbytis natunae,Herbivore
Presbytis potenziani,Herbivore
Presbytis rubicunda,Herbivore
Presbytis siamensis,Herbivore
Presbytis thomasi,Herbivore
Procolobus badius,Herbivore
Procolobus gordonorum,Herbivore
Procolobus kirkii,Herbivore
Procolobus pennantii,Herbivore
Procolobus preussi,Herbivore
Procolobus rufomitratus,Herbivore
Procolobus verus,Herbivore
Pygathrix cinerea,Herbivore
Pygathrix nemaeus,Herbivore
Pygathrix nigripes,Herbivore
Rhinopithecus avunculus,Herbivore
Rhinopithecus bieti,Herbivore
Rhinopithecus brelichi,Herbivore
Rhinopithecus roxellana,Omnivore
Rungwecebus kipunji,Herbivore
Semnopithecus ajax,Herbivore
Semnopithecus dussumieri,Herbivore
Semnopithecus entellus,Herbivore
Semnopithecus hector,Herbivore
Semnopithecus hypoleucos,Herbivore
Semnopithecus priam,Herbivore
Semnopithecus schistaceus,Herbivore
Simias concolor,Herbivore
Theropithecus gelada,Herbivore
Trachypithecus auratus,Herbivore
Trachypithecus barbei,Herbivore
Trachypithecus cristatus,Herbivore
Trachypithecus delacouri,Herbivore
Trachypithecus francoisi,Herbivore
Trachypithecus geei,Herbivore
Trachypithecus germaini,Herbivore
Trachypithecus hatinhensis,Herbivore
Trachypithecus johnii,Omnivore
Trachypithecus laotum,Herbivore
Trachypithecus obscurus,Herbivore
Trachypithecus phayrei,Herbivore
Trachypithecus pileatus,Herbivore
Trachypithecus poliocephalus,Herbivore
Trachypithecus shortridgei,Herbivore
Trachypithecus vetulus,Herbivore
Alces alces,Herbivore
Alces americanus,Herbivore
