Species,Diet
Proechimys canicollis,Herbivore
Proechimys chrysaeolus,Herbivore
Proechimys cuvieri,Herbivore
Proechimys decumanus,Herbivore
Proechimys echinothrix,Herbivore
Proechimys gardneri,Herbivore
Proechimys goeldii,Herbivore
Proechimys guairae,Herbivore
Proechimys guyannensis,Herbivore
Proechimys hoplomyoides,Herbivore
Proechimys kulinae,Herbivore
Proechimys longicaudatus,Herbivore
Proechimys magdalenae,Herbivore
Proechimys mincae,Herbivore
Proechimys oconnelli,Herbivore
Proechimys pattoni,Herbivore
Proechimys poliopus,Herbivore
Proechimys quadruplicatus,Herbivore
Proechimys roberti,Herbivore
Proechimys semispinosus,Herbivore
Proechimys simonsi,Herbivore
Proechimys steerei,Herbivore
Proechimys trinitatus,Herbivore
Proechimys urichi,Herbivore
Santamartamys rufodorsalis,Herbivore
Thrichomys apereoides,Herbivore
Thrichomys inermis,Herbivore
Thrichomys pachyurus,Herbivore
Toromys grandis,Herbivore
Trinomys albispinus,Herbivore
Trinomys dimidiatus,Herbivore
Trinomys eliasi,Herbivore
Trinomys gratiosus,Herbivore
Trinomys iheringi,Herbivore
Trinomys mirapitanga,Herbivore
Trinomys moojeni,Herbivore
Trinomys myosuros,Herbivore
Trinomys paratus,Herbivore
Trinomys setosus,Herbivore
Trinomys yonenagae,Herbivore
Elephas maximus,Herbivore
Loxodonta africana,Herbivore
Balantiopteryx infusca,Carnivore
Balantiopteryx io,Carnivore
Balantiopteryx plicata,Carnivore
Centronycteris centralis,Carnivore
Centronycteris maximiliani,Carnivore
Coleura afra,Carnivore
Coleura seychellensis,Carnivore
Cormura brevirostris,Carnivore
Cyttarops alecto,Carnivore
Diclidurus albus,Carnivore
Diclidurus ingens,Carnivore
Diclidurus isabellus,Carnivore
Diclidurus scutatus,Carnivore
Emballonura alecto,Carnivore
Emballonura atrata,Carnivore
Emballonura beccarii,Carnivore
Emballonura dianae,Carnivore
Emballonura furax,Carnivore
Emballonura monticola,Carnivore
Emballonura raffrayana,Carnivore
Emballonura semicaudata,Carnivore
Emballonura serii,Carnivore
Emballonura tiavato,Carnivore
Mosia nigrescens,Carnivore
Peropteryx kappleri,Carnivore
Peropteryx leucoptera,Carnivore
Peropteryx macrotis,Carnivore
Peropteryx trinitatis,Carnivore
Rhynchonycteris naso,Carnivore
Saccolaimus flaviventris,Carnivore
Saccolaimus mixtus,Carnivore
Saccolaimus peli,Carnivore
Saccolaimus saccolaimus,Carnivore
Saccopteryx antioquensis,Carnivore
Saccopteryx bilineata,Carnivore
Saccopteryx canescens,Carnivore
Saccopteryx gymnura,Carnivore
Saccopteryx leptura,Carnivore
Taphozous achates,Carnivore
Taphozous australis,Carnivore
Taphozous georgianus,Carnivore
Taphozous hamiltoni,Carnivore
Taphozous hildegardeae,Carnivore
Taphozous hilli,Carnivore
Taphozous kapalgensis,Carnivore
Taphozous longimanus,Carnivore
Taphozous mauritianus,Carnivore
Taphozous melanopogon,Carnivore
Taphozous nudiventris,Carnivore
Taphozous perforatus,Carnivore
Taphozous theobaldi,Carnivore
Taphozous troughtoni,Carnivore
Equus africanus,Herbivore
Equus ferus,Herbivore
Equus grevyi,Herbivore
Equus hemionus,Herbivore
Equus kiang,Herbivore
Equus quagga,Herbivore
Equus zebra,Herbivore
Chaetomys subspinosus,Herbivore
Coendou bicolor,Herbivore
Coendou nycthemera,Herbivore
Coendou prehensilis,Herbivore
Coendou quichua,Herbivore
Coendou rothschildi,Herbivore
Coendou sanctamartae,Herbivore
Erethizon dorsatum,Herbivore
Sphiggurus ichillus,Herbivore
Sphiggurus insidiosus,Omnivore
Sphiggurus melanurus,Omnivore
Sphiggurus mexicanus,Herbivore
Sphiggurus pruinosus,Herbivore
Sphiggurus roosmalenorum,Herbivore
Sphiggurus spinosus,Herbivore
Sphiggurus vestitus,Herbivore
Sphiggurus villosus,Herbivore
Atelerix albiventris,Omnivore
Atelerix algirus,Omnivore
Atelerix frontalis,Omnivore
Atelerix sclateri,Omnivore
Echinosorex gymnura,Omnivore
Erinaceus amurensis,Carnivore
Erinaceus concolor,Carnivore
Erinaceus europaeus,Carnivore
Erinaceus roumanicus,Carnivore
Hemiechinus auritus,Omnivore
Hemiechinus collaris,Omnivore
Hylomys megalotis,Carnivore
Hylomys parvus,Carnivore
Hylomys suillus,Carnivore
Mesechinus dauuricus,Carnivore
Mesechinus hughi,Omnivore
Neohylomys hainanensis,Omnivore
Neotetracus sinensis,Omnivore
Paraechinus aethiopicus,Carnivore
Paraechinus hypomelas,Carnivore
Paraechinus micropus,Omnivore
Paraechinus nudiventris,Carnivore
Podogymnura aureospinula,Carnivore
Podogymnura truei,Carnivore
Cryptoprocta ferox,Carnivore
Cryptoprocta spelea,Carnivore
Eupleres goudotii,Carnivore
Fossa fossana,Carnivore
Galidia elegans,Omnivore
Galidictis fasciata,Carnivore
Galidictis grandidieri,Carnivore
Mungotictis decemlineata,Carnivore
Salanoia concolor,Omnivore
Acinonyx jubatus,Carnivore
Caracal aurata,Carnivore
Caracal caracal,Carnivore
Felis chaus,Carnivore
Felis margarita,Carnivore
Felis nigripes,Carnivore
Felis silvestris,Carnivore
Leopardus colocolo,Carnivore
Leopardus geoffroyi,Carnivore
Leopardus guigna,Carnivore
Leopardus jacobita,Carnivore
Leopardus pardalis,Carnivore
Leopardus tigrinus,Carnivore
Leopardus wiedii,Omnivore
Leptailurus serval,Carnivore
Lynx canadensis,Carnivore
Lynx lynx,Carnivore
Lynx pardinus,Carnivore
Lynx rufus,Carnivore
Neofelis diardi,Carnivore
Neofelis nebulosa,Carnivore
Otocolobus manul,Carnivore
Panthera leo,Carnivore
Panthera onca,Carnivore
Panthera pardus,Carnivore
Panthera tigris,Carnivore
Panthera uncia,Carnivore
Pardofelis badia,Carnivore
Pardofelis marmorata,Carnivore
Pardofelis temminckii,Carnivore
Prionailurus bengalensis,Carnivore
Prionailurus planiceps,Carnivore
Prionailurus rubiginosus,Carnivore
Prionailurus viverrinus,Carnivore
Puma concolor,Carnivore
Puma yagouaroundi,Carnivore
Amorphochilus schnablii,Carnivore
Furipterus horrens,Carnivore
Euoticus elegantulus,Omnivore
Euoticus pallidus,Herbivore
Galago gallarum,Omnivore
Galago matschiei,Omnivore
Galago moholi,Omnivore
Galago senegalensis,Omnivore
Galagoides cocos,Omnivore
Galagoides demidovii,Omnivore
Galagoides granti,Omnivore
Galagoides nyasae,Omnivore
Galagoides orinus,Omnivore
Galagoides rondoensis,Omnivore
Galagoides thomasi,Omnivore
Galagoides zanzibaricus,Omnivore
Otolemur crassicaudatus,Omnivore
Otolemur garnettii,Omnivore
Sciurocheirus alleni,Omnivore
Sciurocheirus gabonensis,Omnivore
Cratogeomys castanops,Herbivore
Cratogeomys fulvescens,Herbivore
Cratogeomys fumosus,Herbivore
Cratogeomys goldmani,Herbivore
Cratogeomys merriami,Herbivore
Cratogeomys perotensis,Herbivore
Cratogeomys planiceps,Herbivore
Geomys arenarius,Herbivore
Geomys attwateri,Herbivore
Geomys breviceps,Herbivore
Geomys bursarius,Herbivore
Geomys knoxjonesi,Herbivore
Geomys personatus,Herbivore
Geomys pinetis,Herbivore
Geomys texensis,Herbivore
Geomys tropicalis,Herbivore
Orthogeomys cavator,Herbivore
Orthogeomys cherriei,Herbivore
Orthogeomys cuniculus,Herbivore
Orthogeomys dariensis,Herbivore
Orthogeomys grandis,Herbivore
Orthogeomys heterodus,Herbivore
Orthogeomys hispidus,Herbivore
Orthogeomys lanius,Herbivore
Orthogeomys matagalpae,Herbivore
Orthogeomys thaeleri,Herbivore
Orthogeomys underwoodi,Herbivore
Pappogeomys alcorni,Herbivore
Pappogeomys bulleri,Herbivore
Thomomys bottae,Herbivore
Thomomys bulbivorus,Herbivore
Thomomys clusius,Herbivore
Thomomys idahoensis,Herbivore
Thomomys mazama,Herbivore
Thomomys monticola,Herbivore
Thomomys talpoides,Herbivore
Thomomys townsendii,Herbivore
Thomomys umbrinus,Herbivore
Zygogeomys trichopus,Herbivore
Giraffa camelopardalis,Herbivore
Okapia johnstoni,Herbivore
Chaetocauda sichuanensis,Herbivore
Dryomys laniger,Omnivore
Dryomys niethammeri,Omnivore
Dryomys nitedula,Omnivore
Eliomys melanurus,Omnivore
Eliomys munbyanus,Omnivore
Eliomys quercinus,Omnivore
Glirulus japonicus,Omnivore
Glis glis,Omnivore
Graphiurus angolensis,Omnivore
Graphiurus christyi,Omnivore
Graphiurus crassicaudatus,Omnivore
Graphiurus johnstoni,Omnivore
Graphiurus kelleni,Omnivore
Graphiurus lorraineus,Omnivore
Graphiurus microtis,Omnivore
Graphiurus monardi,Omnivore
Graphiurus murinus,Omnivore
Graphiurus nagtglasii,Omnivore
Graphiurus ocularis,Omnivore
Graphiurus platyops,Omnivore
Graphiurus rupicola,Omnivore
Graphiurus surdus,Omnivore
Muscardinus avellanarius,Omnivore
Myomimus personatus,Carnivore
Myomimus roachi,Herbivore
Myomimus setzeri,Omnivore
Selevinia betpakdalaensis,Carnivore
Atilax paludinosus,Omnivore
Bdeogale crassicauda,Carnivore
Bdeogale jacksoni,Carnivore
Bdeogale nigripes,Carnivore
Bdeogale omnivora,Carnivore
Crossarchus alexandri,Omnivore
Crossarchus ansorgei,Omnivore
Crossarchus obscurus,Omnivore
Crossarchus platycephalus,Omnivore
Cynictis penicillata,Carnivore
Dologale dybowskii,Carnivore
Helogale hirtula,Omnivore
Helogale parvula,Carnivore
Herpestes brachyurus,Omnivore
Herpestes edwardsii,Carnivore
Herpestes flavescens,Omnivore
Herpestes fuscus,Omnivore
Herpestes ichneumon,Omnivore
Herpestes javanicus,Carnivore
Herpestes naso,Omnivore
Herpestes ochraceus,Omnivore
Herpestes pulverulentus,Carnivore
Herpestes sanguineus,Carnivore
Herpestes semitorquatus,Omnivore
Herpestes smithii,Carnivore
Herpestes urva,Carnivore
Herpestes vitticollis,Omnivore
Ichneumia albicauda,Omnivore
Liberiictis kuhni,Carnivore
Mungos gambianus,Carnivore
Mungos mungo,Carnivore
Paracynictis selousi,Carnivore
Rhynchogale melleri,Omnivore
Suricata suricatta,Omnivore
Chaetodipus arenarius,Omnivore
Chaetodipus artus,Herbivore
Chaetodipus baileyi,Omnivore
Chaetodipus californicus,Omnivore
Chaetodipus dalquesti,Omnivore
Chaetodipus eremicus,Herbivore
Chaetodipus fallax,Omnivore
Chaetodipus formosus,Omnivore
Chaetodipus goldmani,Herbivore
Chaetodipus hispidus,Omnivore
Chaetodipus intermedius,Omnivore
Chaetodipus lineatus,Herbivore
Chaetodipus nelsoni,Herbivore
Chaetodipus penicillatus,Omnivore
Chaetodipus pernix,Herbivore
Chaetodipus rudinoris,Herbivore
Chaetodipus spinatus,Herbivore
Dipodomys agilis,Herbivore
Dipodomys californicus,Herbivore
Dipodomys compactus,Herbivore
Dipodomys deserti,Omnivore
Dipodomys elator,Omnivore
Dipodomys gravipes,Omnivore
Dipodomys heermanni,Herbivore
Dipodomys ingens,Herbivore
Dipodomys insularis,Omnivore
Dipodomys margaritae,Omnivore
Dipodomys merriami,Omnivore
Dipodomys microps,Herbivore
Dipodomys nelsoni,Omnivore
Dipodomys nitratoides,Herbivore
Dipodomys ordii,Omnivore
Dipodomys panamintinus,Herbivore
Dipodomys phillipsii,Herbivore
Dipodomys simulans,Herbivore
Dipodomys spectabilis,Omnivore
Dipodomys stephensi,Omnivore
Dipodomys venustus,Herbivore
Heteromys anomalus,Herbivore
Heteromys australis,Herbivore
Heteromys desmarestianus,Omnivore
Heteromys gaumeri,Herbivore
Heteromys nelsoni,Herbivore
Heteromys oasicus,Herbivore
Heteromys oresterus,Herbivore
Heteromys teleus,Herbivore
Liomys adspersus,Herbivore
Liomys irroratus,Herbivore
Liomys pictus,Omnivore
Liomys salvini,Omnivore
Liomys spectabilis,Herbivore
Microdipodops megacephalus,Herbivore
Microdipodops pallidus,Omnivore
Perognathus alticolus,Omnivore
Perognathus amplus,Omnivore
Perognathus fasciatus,Omnivore
Perognathus flavescens,Omnivore
Perognathus flavus,Omnivore
Perognathus inornatus,Herbivore
Perognathus longimembris,Omnivore
Perognathus merriami,Omnivore
Perognathus parvus,Omnivore
Choeropsis liberiensis,Herbivore
Hippopotamus amphibius,Herbivore
Hippopotamus lemerlei,Herbivore
Hippopotamus madagascariensis,Herbivore
Anthops ornatus,Carnivore
Asellia patrizii,Carnivore
Asellia tridens,Carnivore
Aselliscus stoliczkanus,Carnivore
Aselliscus tricuspidatus,Carnivore
Cloeotis percivali,Carnivore
Coelops frithii,Carnivore
Coelops hirsutus,Carnivore
Coelops robinsoni,Carnivore
Hipposideros abae,Carnivore
Hipposideros armiger,Carnivore
Hipposideros ater,Carnivore
Hipposideros beatus,Carnivore
Hipposideros bicolor,Carnivore
Hipposideros boeadii,Carnivore
Hipposideros breviceps,Carnivore
Hipposideros caffer,Carnivore
Hipposideros calcaratus,Carnivore
Hipposideros camerunensis,Carnivore
Hipposideros cervinus,Carnivore
Hipposideros cineraceus,Carnivore
Hipposideros commersoni,Carnivore
Hipposideros coronatus,Carnivore
Hipposideros corynophyllus,Carnivore
Hipposideros coxi,Carnivore
Hipposideros crumeniferus,Carnivore
Hipposideros curtus,Carnivore
Hipposideros cyclops,Carnivore
Hipposideros demissus,Carnivore
Hipposideros diadema,Carnivore
Hipposideros dinops,Carnivore
Hipposideros doriae,Carnivore
Hipposideros durgadasi,Carnivore
Hipposideros dyacorum,Carnivore
Hipposideros edwardshilli,Carnivore
Hipposideros fuliginosus,Carnivore
Hipposideros fulvus,Carnivore
Hipposideros galeritus,Carnivore
Hipposideros gigas,Carnivore
Hipposideros grandis,Carnivore
Hipposideros halophyllus,Carnivore
Hipposideros hypophyllus,Carnivore
Hipposideros inexpectatus,Carnivore
Hipposideros inornatus,Carnivore
Hipposideros jonesi,Carnivore
Hipposideros khaokhouayensis,Carnivore
Hipposideros lamottei,Carnivore
Hipposideros lankadiva,Carnivore
Hipposideros larvatus,Carnivore
Hipposideros lekaguli,Carnivore
Hipposideros lylei,Carnivore
Hipposideros macrobullatus,Carnivore
Hipposideros madurae,Carnivore
Hipposideros maggietaylorae,Carnivore
Hipposideros marisae,Carnivore
Hipposideros megalotis,Carnivore
Hipposideros muscinus,Carnivore
Hipposideros nequam,Carnivore
Hipposideros obscurus,Carnivore
Hipposideros orbiculus,Carnivore
Hipposideros papua,Carnivore
Hipposideros pelingensis,Carnivore
Hipposideros pomona,Carnivore
Hipposideros pratti,Carnivore
Hipposideros pygmaeus,Carnivore
Hipposideros ridleyi,Carnivore
Hipposideros rotalis,Carnivore
Hipposideros ruber,Carnivore
Hipposideros scutinares,Carnivore
Hipposideros semoni,Carnivore
Hipposideros sorenseni,Carnivore
Hipposideros speoris,Carnivore
Hipposideros stenotis,Carnivore
Hipposideros sumbae,Carnivore
Hipposideros thomensis,Carnivore
Hipposideros turpis,Carnivore
Hipposideros vittatus,Carnivore
Hipposideros wollastoni,Carnivore
Paracoelops megalotis,Carnivore
Rhinonicteris aurantia,Carnivore
Triaenops auritus,Carnivore
Triaenops furculus,Carnivore
Triaenops persicus,Carnivore
Triaenops rufus,Carnivore
Gorilla beringei,Herbivore
Gorilla gorilla,Herbivore
Homo sapiens,Omnivore
Pan paniscus,Herbivore
Pan troglodytes,Herbivore
Pongo abelii,Omnivore
Pongo pygmaeus,Omnivore
Crocuta crocuta,Carnivore
Hyaena brunnea,Omnivore
Hyaena hyaena,Omnivore
Proteles cristata,Carnivore
Hoolock hoolock,Herbivore
Hoolock leuconedys,Omnivore
Hylobates agilis,Omnivore
Hylobates albibarbis,Omnivore
Hylobates klossii,Omnivore
Hylobates lar,Herbivore
Hylobates moloch,Herbivore
Hylobates muelleri,Omnivore
Hylobates pileatus,Omnivore
Nomascus concolor,Herbivore
Nomascus gabriellae,Herbivore
Nomascus hainanus,Herbivore
Nomascus leucogenys,Herbivore
Nomascus nasutus,Herbivore
Nomascus siki,Herbivore
Symphalangus syndactylus,Omnivore
Hypsiprymnodon moschatus,Omnivore
Atherurus africanus,Omnivore
Atherurus macrourus,Omnivore
Hystrix africaeaustralis,Herbivore
Hystrix brachyura,Herbivore
Hystrix crassispinis,Herbivore
Hystrix cristata,Herbivore
Hystrix indica,Herbivore
Hystrix javanica,Herbivore
Hystrix pumila,Herbivore
Hystrix sumatrae,Herbivore
Trichys fasciculata,Herbivore
Avahi betsileo,Herbivore
Avahi cleesei,Herbivore
Avahi laniger,Herbivore
Avahi meridionalis,Herbivore
Avahi occidentalis,Herbivore
Avahi peyrierasi,Herbivore
Avahi ramanantsoavanai,Herbivore
Avahi unicolor,Herbivore
Indri indri,Herbivore
Propithecus candidus,Herbivore
Propithecus coquereli,Herbivore
Propithecus coronatus,Herbivore
Propithecus deckenii,Herbivore
Propithecus diadema,Herbivore
Propithecus edwardsi,Herbivore
Propithecus perrieri,Herbivore
Propithecus tattersalli,Herbivore
Propithecus verreauxi,Herbivore
Eulemur albifrons,Herbivore
Eulemur cinereiceps,Herbivore
Eulemur collaris,Herbivore
Eulemur coronatus,Herbivore
Eulemur fulvus,Herbivore
Eulemur macaco,Herbivore
Eulemur mongoz,Herbivore
Eulemur rubriventer,Herbivore
Eulemur rufifrons,Herbivore
Eulemur rufus,Herbivore
Eulemur sanfordi,Herbivore
Hapalemur alaotrensis,Herbivore
Hapalemur aureus,Herbivore
Hapalemur griseus,Herbivore
Hapalemur meridionalis,Herbivore
Hapalemur occidentalis,Herbivore
Lemur catta,Herbivore
Prolemur simus,Herbivore
Varecia rubra,Herbivore
Varecia variegata,Herbivore
Lepilemur aeeclis,Herbivore
Lepilemur ahmansonorum,Herbivore
Lepilemur ankaranensis,Herbivore
Lepilemur betsileo,Herbivore
Lepilemur dorsalis,Herbivore
Lepilemur edwardsi,Herbivore
Lepilemur fleuretae,Herbivore
Lepilemur grewcockorum,Herbivore
Lepilemur hubbardorum,Herbivore
Lepilemur jamesorum,Herbivore
Lepilemur leucopus,Herbivore
Lepilemur microdon,Herbivore
Lepilemur milanoii,Herbivore
Lepilemur mittermeieri,Herbivore
Lepilemur mustelinus,Herbivore
Lepilemur otto,Herbivore
Lepilemur petteri,Herbivore
Lepilemur randrianasoloi,Herbivore
Lepilemur ruficaudatus,Herbivore
Lepilemur sahamalazensis,Herbivore
Lepilemur seali,Herbivore
Lepilemur septentrionalis,Herbivore
Lepilemur tymerlachsonorum,Herbivore
Lepilemur wrightae,Herbivore
Brachylagus idahoensis,Herbivore
Bunolagus monticularis,Herbivore
Caprolagus hispidus,Herbivore
Lepus alleni,Herbivore
Lepus americanus,Herbivore
Lepus arcticus,Omnivore
Lepus brachyurus,Herbivore
Lepus californicus,Herbivore
Lepus callotis,Herbivore
Lepus capensis,Herbivore
Lepus castroviejoi,Herbivore
Lepus comus,Herbivore
Lepus coreanus,Herbivore
Lepus corsicanus,Herbivore
Lepus europaeus,Herbivore
Lepus fagani,Herbivore
Lepus flavigularis,Herbivore
Lepus granatensis,Herbivore
Lepus habessinicus,Herbivore
Lepus hainanus,Herbivore
Lepus insularis,Herbivore
Lepus mandshuricus,Herbivore
Lepus microtis,Herbivore
Lepus nigricollis,Herbivore
Lepus oiostolus,Herbivore
Lepus othus,Herbivore
Lepus peguensis,Herbivore
Lepus saxatilis,Herbivore
Lepus sinensis,Herbivore
Lepus starcki,Herbivore
Lepus tibetanus,Herbivore
Lepus timidus,Herbivore
Lepus tolai,Herbivore
Lepus townsendii,Herbivore
Lepus yarkandensis,Herbivore
Nesolagus netscheri,Herbivore
Nesolagus timminsi,Herbivore
Oryctolagus cuniculus,Herbivore
Pentalagus furnessi,Herbivore
Poelagus marjorita,Herbivore
Pronolagus crassicaudatus,Herbivore
Pronolagus randensis,Herbivore
Pronolagus rupestris,Herbivore
Pronolagus saundersiae,Herbivore
Romerolagus diazi,Herbivore
Sylvilagus aquaticus,Herbivore
Sylvilagus audubonii,Herbivore
Sylvilagus bachmani,Herbivore
Sylvilagus brasiliensis,Herbivore
Sylvilagus cognatus,Herbivore
Sylvilagus cunicularius,Herbivore
Sylvilagus dicei,Herbivore
Sylvilagus floridanus,Herbivore
Sylvilagus graysoni,Herbivore
Sylvilagus insonus,Herbivore
Sylvilagus mansuetus,Herbivore
Sylvilagus nuttallii,Herbivore
Sylvilagus obscurus,Herbivore
Sylvilagus palustris,Herbivore
Sylvilagus robustus,Herbivore
Sylvilagus transitionalis,Herbivore
Sylvilagus varynaensis,Herbivore
Arctocebus aureus,Omnivore
Arctocebus calabarensis,Omnivore
Loris lydekkerianus,Omnivore
Loris tardigradus,Carnivore
Nycticebus bengalensis,Herbivore
Nycticebus coucang,Omnivore
Nycticebus javanicus,Omnivore
Nycticebus menagensis,Omnivore
Nycticebus pygmaeus,Omnivore
Perodicticus potto,Omnivore
Dendrolagus bennettianus,Herbivore
Dendrolagus dorianus,Herbivore
Dendrolagus goodfellowi,Herbivore
Dendrolagus inustus,Herbivore
Dendrolagus lumholtzi,Herbivore
Dendrolagus matschiei,Herbivore
Dendrolagus mayri,Herbivore
Dendrolagus mbaiso,Herbivore
Dendrolagus notatus,Herbivore
Dendrolagus pulcherrimus,Herbivore
Dendrolagus scottae,Herbivore
Dendrolagus spadix,Herbivore
Dendrolagus stellarum,Herbivore
Dendrolagus ursinus,Herbivore
Dorcopsis atrata,Herbivore
Dorcopsis hageni,Herbivore
Dorcopsis luctuosa,Herbivore
Dorcopsis muelleri,Herbivore
Dorcopsulus macleayi,Herbivore
Dorcopsulus vanheurni,Herbivore
Lagorchestes asomatus,Herbivore
Lagorchestes conspicillatus,Herbivore
Lagorchestes hirsutus,Herbivore
Lagorchestes leporides,Herbivore
Lagostrophus fasciatus,Herbivore
Macropus agilis,Herbivore
Macropus antilopinus,Herbivore
Macropus bernardus,Herbivore
Macropus dorsalis,Herbivore
Macropus eugenii,Herbivore
Macropus fuliginosus,Herbivore
Macropus giganteus,Herbivore
Macropus greyi,Herbivore
Macropus irma,Herbivore
Macropus parma,Herbivore
Macropus parryi,Herbivore
Macropus robustus,Herbivore
Macropus rufogriseus,Herbivore
Macropus rufus,Herbivore
Onychogalea fraenata,Herbivore
Onychogalea lunata,Herbivore
Onychogalea unguifera,Herbivore
Petrogale assimilis,Herbivore
Petrogale brachyotis,Herbivore
Petrogale burbidgei,Herbivore
Petrogale coenensis,Herbivore
Petrogale concinna,Herbivore
Petrogale godmani,Herbivore
Petrogale herberti,Herbivore
Petrogale inornata,Herbivore
Petrogale lateralis,Herbivore
Petrogale mareeba,Herbivore
Petrogale penicillata,Herbivore
Petrogale persephone,Herbivore
Petrogale purpureicollis,Herbivore
Petrogale rothschildi,Herbivore
Petrogale sharmani,Herbivore
Petrogale xanthopus,Herbivore
Setonix brachyurus,Herbivore
Thylogale billardierii,Herbivore
Thylogale browni,Herbivore
Thylogale brunii,Herbivore
Thylogale calabyi,Herbivore
Thylogale lanatus,Herbivore
Thylogale stigmatica,Herbivore
Thylogale thetis,Herbivore
Wallabia bicolor,Herbivore
Elephantulus brachyrhynchus,Omnivore
Elephantulus edwardii,Omnivore
Elephantulus fuscipes,Omnivore
Elephantulus fuscus,Omnivore
Elephantulus intufi,Omnivore
Elephantulus myurus,Omnivore
Elephantulus pilicaudus,Omnivore
Elephantulus revoili,Omnivore
Elephantulus rozeti,Omnivore
Elephantulus rufescens,Omnivore
Elephantulus rupestris,Omnivore
Macroscelides proboscideus,Omnivore
Petrodromus tetradactylus,Carnivore
Rhynchocyon chrysopygus,Carnivore
Rhynchocyon cirnei,Carnivore
Rhynchocyon petersi,Carnivore
Rhynchocyon udzungwensis,Carnivore
Manis crassicaudata,Carnivore
Manis culionensis,Carnivore
Manis javanica,Carnivore
Manis pentadactyla,Carnivore
Phataginus tricuspis,Carnivore
Smutsia gigantea,Carnivore
Smutsia temminckii,Carnivore
Uromanis tetradactyla,Carnivore
Cardioderma cor,Carnivore
Lavia frons,Carnivore
Macroderma gigas,Carnivore
Megaderma lyra,Carnivore
Megaderma spasma,Carnivore
Choloepus didactylus,Herbivore
Choloepus hoffmanni,Herbivore
Conepatus chinga,Carnivore
Conepatus humboldtii,Omnivore
Conepatus leuconotus,Omnivore
Conepatus semistriatus,Carnivore
Mephitis macroura,Omnivore
Mephitis mephitis,Omnivore
Mydaus javanensis,Carnivore
Mydaus marchei,Carnivore
Spilogale angustifrons,Omnivore
Spilogale gracilis,Omnivore
Spilogale putorius,Carnivore
Spilogale pygmaea,Omnivore
Dromiciops gliroides,Carnivore
Cheiromeles parvidens,Carnivore
Cheiromeles torquatus,Carnivore
Cynomops abrasus,Carnivore
Cynomops greenhalli,Carnivore
Cynomops mexicanus,Carnivore
Cynomops paranus,Carnivore
Cynomops planirostris,Carnivore
Eumops auripendulus,Carnivore
Eumops bonariensis,Carnivore
Eumops dabbenei,Carnivore
Eumops floridanus,Carnivore
Eumops glaucinus,Carnivore
Eumops hansae,Carnivore
Eumops maurus,Carnivore
Eumops patagonicus,Carnivore
Eumops perotis,Carnivore
Eumops trumbulli,Carnivore
Eumops underwoodi,Carnivore
Molossops aequatorianus,Carnivore
Molossops mattogrossensis,Carnivore
Molossops neglectus,Carnivore
Molossops temminckii,Carnivore
Molossus aztecus,Carnivore
Molossus barnesi,Carnivore
Molossus coibensis,Carnivore
Molossus currentium,Carnivore
Molossus molossus,Carnivore
Molossus pretiosus,Carnivore
Molossus rufus,Carnivore
Molossus sinaloae,Carnivore
Mormopterus acetabulosus,Carnivore
Mormopterus beccarii,Carnivore
Mormopterus doriae,Carnivore
Mormopterus jugularis,Carnivore
Mormopterus kalinowskii,Carnivore
Mormopterus loriae,Carnivore
Mormopterus minutus,Carnivore
Mormopterus norfolkensis,Carnivore
Mormopterus phrudus,Carnivore
Mormopterus planiceps,Carnivore
Myopterus daubentonii,Carnivore
Myopterus whitleyi,Carnivore
Nyctinomops aurispinosus,Carnivore
Nyctinomops femorosaccus,Carnivore
Nyctinomops laticaudatus,Carnivore
Nyctinomops macrotis,Carnivore
Otomops formosus,Carnivore
Otomops johnstonei,Carnivore
Otomops madagascariensis,Carnivore
Otomops martiensseni,Carnivore
Otomops papuensis,Carnivore
Otomops secundus,Carnivore
Otomops wroughtoni,Carnivore
Platymops setiger,Carnivore
Promops centralis,Carnivore
Promops nasutus,Carnivore
Sauromys petrophilus,Carnivore
Tadarida aegyptiaca,Carnivore
Tadarida aloysiisabaudiae,Carnivore
Tadarida ansorgei,Carnivore
Tadarida australis,Carnivore
Tadarida bemmeleni,Carnivore
Tadarida bivittata,Carnivore
Tadarida brachyptera,Carnivore
Tadarida brasiliensis,Carnivore
Tadarida bregullae,Carnivore
Tadarida chapini,Carnivore
Tadarida condylura,Carnivore
Tadarida congica,Carnivore
Tadarida demonstrator,Carnivore
Tadarida fulminans,Carnivore
Tadarida gallagheri,Carnivore
Tadarida insignis,Carnivore
Tadarida jobensis,Carnivore
Tadarida jobimena,Carnivore
Tadarida johorensis,Carnivore
Tadarida kuboriensis,Carnivore
Tadarida latouchei,Carnivore
Tadarida leucostigma,Carnivore
Tadarida lobata,Carnivore
Tadarida major,Carnivore
Tadarida midas,Carnivore
Tadarida mops,Carnivore
Tadarida nanula,Carnivore
Tadarida niangarae,Carnivore
Tadarida nigeriae,Carnivore
Tadarida niveiventer,Carnivore
Tadarida petersoni,Carnivore
Tadarida plicata,Carnivore
Tadarida pumila,Carnivore
Tadarida russata,Carnivore
Tadarida sarasinorum,Carnivore
Tadarida solomonis,Carnivore
Tadarida spurrelli,Carnivore
Tadarida teniotis,Carnivore
Tadarida thersites,Carnivore
Tadarida tomensis,Carnivore
Tadarida trevori,Carnivore
Tadarida ventralis,Carnivore
Tomopeas ravus,Carnivore
Mormoops blainvillei,Carnivore
Mormoops megalophylla,Carnivore
Pteronotus davyi,Carnivore
